Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
cosmic-desk-mat,"Cosmic Desk Mat — Galactic Series","<p>Your desk is the first thing people see in every stream, every photo, every setup tour. Make it unforgettable.</p><p>The Cosmic Desk Mat transforms your entire workspace in one move. Each mat features a high-resolution galactic design — deep blacks contrasted against brilliant nebula colours, scattered stars, swirling cosmic dust, and vivid bursts of light that look like they were pulled straight from deep space photography.</p><h3>Built for setups that take aesthetics seriously:</h3><ul><li>Smooth, precision-glide surface optimised for both gaming mice and everyday use</li><li>4mm / 3mm thick cushioned base that stays comfortable across long sessions</li><li>Natural rubber non-slip underside that locks to your desk and doesn't creep</li><li>Stitched edges that won't fray, peel, or lift over time</li><li>Water-resistant surface — spills wipe clean, your setup stays sharp</li><li>Extended coverage that protects your desk and anchors your entire peripheral layout</li></ul><p>One mat. Instant upgrade.</p>",GlowRig,Sporting Goods > Outdoor Recreation > Camping & Hiking,Desk Mat,"desk mat, gaming desk mat, cosmic, galaxy, aesthetic, GlowRig, battlestation, extended mousepad",TRUE,Size,800x300x3mm,,,"GR-MAT-COS-800",400,shopify,50,deny,manual,49.95,,TRUE,TRUE,,,Cosmic Desk Mat 800mm,FALSE,Cosmic Desk Mat — Galactic Series | GlowRig,"Transform your setup with the GlowRig Cosmic Desk Mat. Deep space nebula design, non-slip rubber base, stitched edges. Fast shipping Australia-wide.",active
cosmic-desk-mat,,,,,,,,Size,900x400x4mm,,,"GR-MAT-COS-900",600,shopify,50,deny,manual,59.95,,TRUE,TRUE,,,Cosmic Desk Mat 900mm,,,,,
japanese-desk-mat,"Japanese Desk Mat — Edo Series","<p>Ancient Japan. Neon cities. The culture that never stopped being cool.</p><p>The Edo Series brings four distinct designs together under one aesthetic — each one a full-width artwork that transforms your desk into something worth photographing.</p><h3>The Designs:</h3><ul><li><strong>Dragon Circle</strong> — A legendary dragon coils within a bold circular motif. Rich reds, pinks, and gold on black.</li><li><strong>Neon City</strong> — A darkened cyberpunk cityscape bathed in purple and blue neon light.</li><li><strong>Ramen Oni</strong> — Japanese street food meets Edo-era illustration with deep red accents.</li><li><strong>Ramen Oni II</strong> — A second take on the ramen theme with a shifted composition.</li></ul><h3>Built for setups that mean it:</h3><ul><li>900x400mm extended coverage — keyboard, mouse, and everything between</li><li>4mm cushioned rubber base — non-slip, desk-protective, and comfortable</li><li>Smooth precision-glide surface — optimised for all mouse types</li><li>Stitched edges that won't fray, lift, or peel</li><li>Water-resistant surface — wipes clean, stays sharp</li></ul>",GlowRig,,Desk Mat,"desk mat, japanese desk mat, anime, edo series, dragon, cyberpunk, ramen, aesthetic, GlowRig, battlestation",TRUE,Design,Dragon Circle,,,"GR-MAT-EDO-DRG",600,shopify,30,deny,manual,59.95,,TRUE,TRUE,,,Japanese Desk Mat Dragon,FALSE,Japanese Desk Mat — Edo Series | GlowRig,"GlowRig Edo Series Japanese desk mats. Dragon, Neon City and Ramen designs. 900x400mm, stitched edges. Fast AU shipping.",active
japanese-desk-mat,,,,,,,,Design,Neon City,,,"GR-MAT-EDO-CITY",600,shopify,30,deny,manual,59.95,,TRUE,TRUE,,,Japanese Desk Mat Neon City,,,,,
japanese-desk-mat,,,,,,,,Design,Ramen Oni,,,"GR-MAT-EDO-RAM1",600,shopify,30,deny,manual,59.95,,TRUE,TRUE,,,Japanese Desk Mat Ramen Oni,,,,,
japanese-desk-mat,,,,,,,,Design,Ramen Oni II,,,"GR-MAT-EDO-RAM2",600,shopify,30,deny,manual,59.95,,TRUE,TRUE,,,Japanese Desk Mat Ramen Oni II,,,,,
rgb-monitor-bias-lighting,"RGB Monitor Bias Lighting Kit — RGBIC Glow Series","<p>The glow behind the monitor isn't just aesthetic. It's the difference between a desk and a setup.</p><p>The RGBIC Glow Series turns the wall behind your screen into a living, breathing lightshow — synced to your music, matched to your screen, or set to whatever mood your session demands.</p><h3>Four ways to control your vibe:</h3><ul><li><strong>Music Sync Mode</strong> — Built-in microphone pulses the lights to the beat in real time.</li><li><strong>Screen Colour Match</strong> — Mirrors your monitor's dominant colours behind the screen.</li><li><strong>App Control</strong> — Full RGB customisation from your phone.</li><li><strong>Remote Control</strong> — Physical 2.4GHz remote for instant switching.</li></ul><h3>Built for gaming setups that mean business:</h3><ul><li>RGBIC technology — multiple colours displayed simultaneously</li><li>USB powered — plugs directly into your monitor or PC</li><li>Adhesive mount — clean install behind any monitor in minutes</li><li>50,000 hour LED lifespan</li><li>Waterproof strip — durable for the long haul</li></ul>",GlowRig,,LED Lighting,"RGB lighting, monitor bias lighting, RGBIC, gaming setup, streamer lighting, music sync, ambient lighting, GlowRig",TRUE,Monitor Size,24 inch,,,"GR-BIAS-24",300,shopify,40,deny,manual,39.95,,TRUE,TRUE,,,RGB Bias Lighting 24 inch,FALSE,RGB Monitor Bias Lighting — RGBIC Glow Series | GlowRig,"RGBIC monitor bias lighting with music sync, screen colour match and app control. Fits 24-34 inch monitors. Fast AU shipping.",active
rgb-monitor-bias-lighting,,,,,,,,Monitor Size,27 inch,,,"GR-BIAS-27",300,shopify,40,deny,manual,44.95,,TRUE,TRUE,,,RGB Bias Lighting 27 inch,,,,,
rgb-monitor-bias-lighting,,,,,,,,Monitor Size,32 inch,,,"GR-BIAS-32",300,shopify,40,deny,manual,49.95,,TRUE,TRUE,,,RGB Bias Lighting 32 inch,,,,,
rgb-monitor-bias-lighting,,,,,,,,Monitor Size,34 inch,,,"GR-BIAS-34",300,shopify,40,deny,manual,54.95,,TRUE,TRUE,,,RGB Bias Lighting 34 inch,,,,,
monitor-light-bar,"Monitor Light Bar — ScreenGlow Series","<p>Your monitor lights the screen. This lights everything else.</p><p>The ScreenGlow Series sits clean on top of your monitor and throws focused, glare-free light exactly where you need it — across your desk, your keyboard, your hands — without a single reflection bouncing back into your eyes.</p><h3>Three colour temperatures. One touch.</h3><ul><li><strong>Cool White (6500K)</strong> — Sharp, focused light for competitive gaming and late-night work sessions.</li><li><strong>Mixed (4000K)</strong> — The balanced middle ground. Natural light that works across every context.</li><li><strong>Warm White (3000K)</strong> — Easy on the eyes for long reading sessions and casual gaming.</li></ul><p>Stepless dimming from 5–100% — not just three brightness levels, but a smooth continuous dial.</p><h3>Built for setups that take the details seriously:</h3><ul><li>Asymmetric optical design — light falls forward onto your desk, zero glare</li><li>Touch control — tap to cycle modes, hold to dim</li><li>Clip mount — sits on any monitor, no tools required</li><li>USB powered — runs off your monitor or PC USB port</li><li>5W rated power — bright enough to matter, efficient enough to forget</li><li>CRI greater than 90 — colour rendering that makes everything look true and clear</li></ul>",GlowRig,,Desk Lamp,"monitor light bar, screen light bar, eye care lamp, USB desk lamp, gaming lighting, setup lighting, GlowRig",TRUE,Size,330mm,,,"GR-LB-330",400,shopify,30,deny,manual,59.95,,TRUE,TRUE,,,Monitor Light Bar 330mm,FALSE,Monitor Light Bar — ScreenGlow Series | GlowRig,"GlowRig ScreenGlow monitor light bar. Touch control, 3 colour temps, stepless dimming. Zero screen glare. Fast AU shipping.",active
